[Link],link_id,from_node_id,to_node_id,direction,length,number_of_lanes,speed_limit,lane_capacity_in_vhc_per_hour,link_type,jam_density,wave_speed,mode_code,grade,geometry,original_geometry,BPR_alpha_term,BPR_beta_term,number_of_left_turn_lanes,length_of_left_turn_lanes,number_of_right_turn_lanes,length_of_right_turn_lanes,from_approach,to_approach,reversed_link_id
,0,11129,1299,1,0.36367,7,50,2000,1,190,12,,0,"<LineString><coordinates>-111.907530,40.610920,0.0 -111.907945,40.616183,0.0</coordinates></LineString>","<LineString><coordinates>-111.907639,40.610911,0.0 -111.908054,40.616174,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
,0,1314,11146,1,0.27578,7,50,2000,1,190,12,,0,"<LineString><coordinates>-111.944083,40.606217,0.0 -111.938867,40.605789,0.0</coordinates></LineString>","<LineString><coordinates>-111.944074,40.606326,0.0 -111.938858,40.605898,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
,0,11146,1314,1,0.27578,7,50,2000,1,190,12,,0,"<LineString><coordinates>-111.938849,40.606007,0.0 -111.944065,40.606435,0.0</coordinates></LineString>","<LineString><coordinates>-111.938858,40.605898,0.0 -111.944074,40.606326,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
,0,1316,11148,1,0.26081,7,50,2000,1,190,12,,0,"<LineString><coordinates>-111.943542,40.597899,0.0 -111.938770,40.598932,0.0</coordinates></LineString>","<LineString><coordinates>-111.943565,40.598006,0.0 -111.938793,40.599039,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
,0,11148,1316,1,0.26081,7,50,2000,1,190,12,,0,"<LineString><coordinates>-111.938816,40.599146,0.0 -111.943588,40.598113,0.0</coordinates></LineString>","<LineString><coordinates>-111.938793,40.599039,0.0 -111.943565,40.598006,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
,0,1318,11160,1,0.23835,7,50,2000,1,190,12,,0,"<LineString><coordinates>-111.943412,40.590781,0.0 -111.938879,40.590734,0.0</coordinates></LineString>","<LineString><coordinates>-111.943411,40.590891,0.0 -111.938878,40.590844,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
,0,11160,1318,1,0.23835,7,50,2000,1,190,12,,0,"<LineString><coordinates>-111.938877,40.590954,0.0 -111.943410,40.591001,0.0</coordinates></LineString>","<LineString><coordinates>-111.938878,40.590844,0.0 -111.943411,40.590891,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
,0,1319,11124,1,0.20536,7,50,2000,1,190,12,,0,"<LineString><coordinates>-111.934336,40.607214,0.0 -111.931747,40.609443,0.0</coordinates></LineString>","<LineString><coordinates>-111.934408,40.607297,0.0 -111.931819,40.609526,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
,0,11124,1319,1,0.20536,7,50,2000,1,190,12,,0,"<LineString><coordinates>-111.931891,40.609609,0.0 -111.934480,40.607380,0.0</coordinates></LineString>","<LineString><coordinates>-111.931819,40.609526,0.0 -111.934408,40.607297,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
,0,1320,5820,1,0.34452,7,50,2000,1,190,12,,0,"<LineString><coordinates>-111.934090,40.599902,0.0 -111.929205,40.603230,0.0</coordinates></LineString>","<LineString><coordinates>-111.934152,40.599993,0.0 -111.929267,40.603321,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
